customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.75,246.93,No
CUST-00001,Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),82.08,897.8,Yes
CUST-00002,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,564.27,No
CUST-00003,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,71.02,5425.46,No
CUST-00004,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,106.55,678.53,No
CUST-00005,Female,1,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,64.4,2742.15,Yes
CUST-00006,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),58.78,588.86,Yes
CUST-00007,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.39,3115.9,No
CUST-00008,Male,0,Yes,No,36,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),88.3,3386.1,No
CUST-00009,Female,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,60.33,1337.76,No
CUST-00010,Male,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,82.21,2705.88,No
CUST-00011,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,77.2,4947.5,Yes
CUST-00012,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,263.58,No
CUST-00013,Male,0,No,Yes,46,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.63,3984.34,Yes
CUST-00014,Female,0,Yes,No,5,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,44.88,224.79,Yes
CUST-00015,Male,0,Yes,No,38,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),69.57,2610.54,No
CUST-00016,Female,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.73,808.65,No
CUST-00017,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,63.22,1111.36,No
CUST-00018,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.42,1464.56,Yes
CUST-00019,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,77.4,2108.67,No
CUST-00020,Female,1,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),22.92,1676.97,No
CUST-00021,Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.43,52.88,No
CUST-00022,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.97,305.99,Yes
CUST-00023,Female,1,Yes,No,59,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,74.82,4194.39,No
CUST-00024,Female,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,45.58,2665.11,No
CUST-00025,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.21,454.22,No
CUST-00026,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,39.91,2819.34,No
CUST-00027,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.14,664.03,Yes
CUST-00028,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,83.96,5585.53,No
CUST-00029,Female,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),71.58,1834.87,Yes
CUST-00030,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,56.33,372.55,No
CUST-00031,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,84.01,1535.91,No
CUST-00032,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),20.95,1443.34,No
CUST-00033,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.82,290.25,No
CUST-00034,Female,0,Yes,Yes,72,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,51.89,4035.19,No
CUST-00035,Male,0,No,Yes,51,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,67.22,3700.99,No
CUST-00036,Female,1,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,50.25,946.0,Yes
CUST-00037,Male,0,No,Yes,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),84.98,1962.79,No
CUST-00038,Male,1,Yes,Yes,29,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,76.01,2255.31,No
CUST-00039,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,111.85,3806.53,No
CUST-00040,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,59.81,113.32,No
CUST-00041,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,1317.78,No
CUST-00042,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.16,1746.06,No
CUST-00043,Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.26,1387.59,No
CUST-00044,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.66,2735.59,Yes
CUST-00045,Female,0,No,Yes,18,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,40.77,765.63,No
CUST-00046,Female,1,No,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.92,2111.1,Yes
